epoch,phase,e_rmse_mol,e_rmse_atom,f_rmse,e_mae,f_mae
159,train,0.871299,0.06717,0.323104,0.67815,0.145307
159,valid,0.414671,0.033585,0.221679,0.311167,0.152152
160,train,0.651504,0.043189,0.298823,0.466398,0.129379
160,valid,0.433835,0.035243,0.220134,0.369636,0.151422
161,train,0.723622,0.053996,0.284024,0.505267,0.139427
161,valid,0.409403,0.033608,0.235816,0.281901,0.168859
162,train,1.096344,0.082884,0.290756,0.89526,0.138096
162,valid,1.43197,0.116241,0.216767,1.400777,0.1487
163,train,0.984536,0.071855,0.275605,0.750596,0.13389
163,valid,0.473255,0.039027,0.251436,0.391776,0.177017
164,train,0.600987,0.046106,0.274574,0.473432,0.138093
164,valid,0.519089,0.042306,0.218247,0.481113,0.150583
165,train,0.553073,0.042652,0.265047,0.454172,0.129116
165,valid,0.574183,0.046686,0.224591,0.526748,0.155394
166,train,0.59901,0.043582,0.289202,0.451225,0.146333
166,valid,0.451541,0.036772,0.218312,0.417944,0.149376
167,train,0.580336,0.043199,0.252198,0.459099,0.127069
167,valid,0.709327,0.057656,0.217356,0.678379,0.148638
168,train,0.607548,0.043264,0.242,0.453875,0.126465
168,valid,0.589026,0.047778,0.243228,0.546701,0.166519
169,train,0.586345,0.041162,0.241735,0.448254,0.126542
169,valid,1.214509,0.098549,0.216771,1.1835,0.149442
170,train,0.702228,0.054387,0.237708,0.512363,0.131517
170,valid,0.311043,0.025564,0.219699,0.266251,0.152418
171,train,1.290239,0.081759,0.227603,0.898431,0.132908
171,valid,0.747492,0.060634,0.216223,0.701987,0.148432
172,train,1.328451,0.089943,0.190059,1.02834,0.129055
172,valid,0.244765,0.020049,0.219626,0.176164,0.151055
173,train,0.962887,0.069105,0.212766,0.692944,0.145171
173,valid,0.780483,0.063493,0.236596,0.721397,0.156754
174,train,0.668684,0.049884,0.202767,0.466582,0.138498
174,valid,0.759669,0.0615,0.226745,0.719905,0.155655
175,train,0.48588,0.034717,0.224418,0.337178,0.135628
175,valid,0.290111,0.023766,0.214255,0.254633,0.148496
176,train,0.800598,0.052664,0.197959,0.512106,0.130846
176,valid,0.831407,0.067687,0.221144,0.67553,0.155577
177,train,0.769232,0.055685,0.194287,0.56875,0.126819
177,valid,0.883391,0.071319,0.224588,0.830995,0.154931
178,train,0.735904,0.050688,0.18474,0.52361,0.12732
178,valid,0.530044,0.043251,0.216798,0.494679,0.148004
179,train,0.584353,0.043798,0.204019,0.438511,0.132351
179,valid,0.599926,0.0486,0.230609,0.554464,0.160248
180,train,0.79012,0.056543,0.213476,0.609408,0.126629
180,valid,0.30352,0.024598,0.217456,0.237277,0.149197
181,train,0.662639,0.044305,0.195325,0.430097,0.133336
181,valid,0.506961,0.041302,0.246484,0.446604,0.177508
182,train,0.80309,0.056626,0.183073,0.643942,0.123047
182,valid,0.929065,0.075012,0.212055,0.89377,0.145394
183,train,0.791149,0.055982,0.173104,0.642956,0.117348
183,valid,0.535051,0.043738,0.212829,0.507658,0.145284
184,train,0.789326,0.05551,0.173583,0.63685,0.117443
184,valid,0.75918,0.061631,0.211921,0.727509,0.144625
185,train,0.822148,0.055195,0.173477,0.635573,0.116014
185,valid,0.57228,0.046294,0.211493,0.518183,0.144293
186,train,0.755366,0.056474,0.167933,0.622084,0.116762
186,valid,0.859651,0.069958,0.237267,0.804878,0.167207
187,train,0.550083,0.040001,0.182587,0.422671,0.126396
187,valid,0.317933,0.026112,0.212895,0.278688,0.145038
188,train,0.534908,0.03639,0.165388,0.404826,0.115398
188,valid,0.66264,0.05387,0.213972,0.635957,0.144958
189,train,0.514036,0.036724,0.183153,0.409798,0.116298
189,valid,0.487215,0.039793,0.215683,0.461004,0.144742
190,train,0.501378,0.035972,0.164742,0.401393,0.114605
190,valid,0.665296,0.053909,0.215155,0.634249,0.145327
191,train,0.549324,0.037142,0.174907,0.412368,0.115326
191,valid,0.387921,0.031754,0.216828,0.356577,0.145269
192,train,0.668869,0.04593,0.194261,0.467557,0.12811
192,valid,0.751753,0.060548,0.242126,0.699737,0.17148
193,train,0.723538,0.053772,0.188548,0.574579,0.127079
193,valid,0.718653,0.058063,0.222191,0.681709,0.148435
194,train,0.678301,0.051091,0.190673,0.516257,0.132088
194,valid,0.29849,0.024611,0.221292,0.2166,0.152079
195,train,0.777407,0.054385,0.225593,0.524196,0.127471
195,valid,0.538061,0.044362,0.21939,0.431984,0.151392
196,train,0.786305,0.055593,0.190995,0.55328,0.125604
196,valid,0.463975,0.038153,0.217051,0.388765,0.149355
197,train,0.850888,0.064897,0.199073,0.658547,0.134959
197,valid,1.030605,0.083748,0.21618,0.994007,0.149614
198,train,0.745821,0.052366,0.198939,0.543927,0.13519
198,valid,0.475322,0.038799,0.222582,0.410355,0.15336
199,train,0.479371,0.036336,0.169102,0.385581,0.118531
199,valid,0.471481,0.038345,0.212892,0.417072,0.143939
200,train,0.666321,0.048258,0.170816,0.489828,0.116173
200,valid,0.533142,0.043648,0.228475,0.466235,0.159013
201,train,0.499365,0.037707,0.169936,0.400451,0.117824
201,valid,0.384048,0.031033,0.210336,0.328587,0.142387
202,train,0.500155,0.034173,0.169272,0.340962,0.118193
202,valid,0.219266,0.018061,0.211772,0.173763,0.145287
203,train,0.585006,0.041516,0.174529,0.419716,0.122337
203,valid,0.65455,0.052586,0.220763,0.595426,0.153853
204,train,0.710702,0.052092,0.166632,0.5836,0.117097
204,valid,0.735684,0.059736,0.212182,0.707267,0.144704
205,train,0.829398,0.052706,0.15677,0.60382,0.110518
205,valid,0.201634,0.016624,0.211235,0.151323,0.144124
206,train,0.605444,0.04446,0.173482,0.4682,0.123896
206,valid,0.286988,0.023586,0.209875,0.243005,0.142729
207,train,0.542477,0.040172,0.199957,0.410212,0.123288
207,valid,0.565305,0.045729,0.216969,0.535092,0.149086
208,train,0.445725,0.033555,0.176651,0.369949,0.112226
208,valid,0.611133,0.04984,0.205806,0.583617,0.139711
209,train,0.541974,0.036834,0.185583,0.376704,0.126307
209,valid,0.337095,0.027524,0.212342,0.280779,0.146248
210,train,0.541193,0.038772,0.214561,0.380283,0.125335
210,valid,0.315834,0.025949,0.209946,0.232441,0.144228
211,train,0.523096,0.037007,0.163956,0.390985,0.113058
211,valid,0.585671,0.047333,0.225047,0.542238,0.14486
212,train,0.490767,0.035471,0.21229,0.342716,0.121433
212,valid,0.281452,0.02303,0.21113,0.207133,0.144429
213,train,0.666144,0.045355,0.171589,0.453577,0.120768
213,valid,0.242058,0.019951,0.213761,0.169822,0.148037
214,train,0.768954,0.05195,0.262148,0.582094,0.114869
214,valid,0.587638,0.047713,0.206773,0.560303,0.139569
215,train,0.727009,0.050066,0.209937,0.569301,0.11073
215,valid,0.290649,0.023705,0.203929,0.258772,0.137563
216,train,0.709912,0.045518,0.172194,0.492017,0.110386
216,valid,1.181744,0.095555,0.207986,1.154413,0.140911
217,train,0.889159,0.058703,0.17519,0.610788,0.116507
217,valid,0.402101,0.033108,0.212692,0.260952,0.14594
218,train,0.663879,0.044584,0.177502,0.490197,0.120451
218,valid,0.930371,0.07519,0.21131,0.899452,0.1412
219,train,0.504072,0.036667,0.209832,0.377826,0.121124
219,valid,0.346543,0.027861,0.206212,0.289232,0.139202
220,train,0.45401,0.030947,0.189954,0.331182,0.109288
220,valid,0.603473,0.049687,0.271653,0.418531,0.168436
221,train,0.533427,0.039675,0.21138,0.389012,0.125752
221,valid,0.348426,0.028568,0.233403,0.30354,0.148109
222,train,0.462946,0.033733,0.181818,0.356035,0.124701
222,valid,0.273009,0.022285,0.216807,0.198807,0.14235
223,train,0.605514,0.037245,0.177309,0.374142,0.119314
223,valid,0.248785,0.020475,0.219761,0.204306,0.14937
224,train,0.594572,0.046069,0.204003,0.461679,0.130059
224,valid,0.25587,0.020633,0.209933,0.185858,0.14498
225,train,0.690391,0.047625,0.157799,0.539254,0.108109
225,valid,0.698193,0.056731,0.203625,0.671719,0.137905
226,train,0.721703,0.046331,0.151919,0.531379,0.105459
226,valid,0.268008,0.021923,0.203225,0.234506,0.137794
227,train,0.660034,0.047172,0.148913,0.533909,0.105116
227,valid,0.804327,0.064878,0.203883,0.772509,0.138308
228,train,0.670809,0.047436,0.14826,0.542625,0.104373
228,valid,0.204608,0.016782,0.203449,0.141682,0.138531
229,train,0.637664,0.046527,0.149588,0.527873,0.105087
229,valid,0.792853,0.064261,0.20359,0.760387,0.136984
230,train,0.649426,0.046882,0.147812,0.533749,0.104397
230,valid,0.279413,0.022957,0.202913,0.242792,0.136763
231,train,0.61907,0.044972,0.159736,0.484285,0.106347
231,valid,0.688241,0.055803,0.205271,0.654819,0.139462
232,train,0.706967,0.047964,0.155668,0.538401,0.108103
232,valid,0.453184,0.036766,0.202649,0.408833,0.137758
233,train,0.600564,0.039047,0.163816,0.401129,0.1148
